ID,condition,Dyad,A_or_B,gender,familiar,familiar_group,gender_group,cq,ts,tp,X,profile,maxrec,maxlag
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-127,0.314379973,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-126,0.312572759,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-125,0.309214355,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-124,0.308572537,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-123,0.305991856,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-122,0.306320279,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-121,0.308005427,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-120,0.309302326,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-119,0.309823678,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-118,0.308601317,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-117,0.30602363,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-116,0.309643687,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-115,0.312875121,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-114,0.308168796,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-113,0.307335011,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-112,0.309597523,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-111,0.311665699,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-110,0.310444874,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-109,0.309611294,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-108,0.317478732,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-107,0.316064179,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-106,0.319095477,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-105,0.318647343,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-104,0.316074189,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-103,0.316206297,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-102,0.321745848,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-101,0.325545472,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-100,0.322779923,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-99,0.318471338,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-98,0.326128908,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-97,0.327609493,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-96,0.326003086,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-95,0.321890068,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-94,0.325684535,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-93,0.326392905,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-92,0.325751735,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-91,0.328965119,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-90,0.32504817,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-89,0.321325371,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-88,0.328197227,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-87,0.324475255,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-86,0.324412784,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-85,0.324157844,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-84,0.324287914,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-83,0.324033096,0.35871017,112
