"","profile","maxrec","maxlag"
"-150",0.398635477582846,0.430306535569693,58
"-149",0.400311830052621,0.430306535569693,58
"-148",0.40062353858145,0.430306535569693,58
"-147",0.400155854276252,0.430306535569693,58
"-146",0.397740553174912,0.430306535569693,58
"-145",0.401557935735151,0.430306535569693,58
"-144",0.400700934579439,0.430306535569693,58
"-143",0.401012263967296,0.430306535569693,58
"-142",0.400934215648112,0.430306535569693,58
"-141",0.399688655380424,0.430306535569693,58
"-140",0.401167315175097,0.430306535569693,58
"-139",0.401478311612527,0.430306535569693,58
"-138",0.402567094515753,0.430306535569693,58
"-137",0.400738868364768,0.430306535569693,58
"-136",0.401827371695179,0.430306535569693,58
"-135",0.404275996112731,0.430306535569693,58
"-134",0.401865526622619,0.430306535569693,58
"-133",0.400427433456382,0.430306535569693,58
"-132",0.393939393939394,0.430306535569693,58
"-131",0.395999223150126,0.430306535569693,58
"-130",0.396504854368932,0.430306535569693,58
"-129",0.397010289264221,0.430306535569693,58
"-128",0.401203416149068,0.430306535569693,58
"-127",0.401901804773918,0.430306535569693,58
"-126",0.401435778036477,0.430306535569693,58
"-125",0.406013579049467,0.430306535569693,58
"-124",0.403607447633825,0.430306535569693,58
"-123",0.410509986426217,0.430306535569693,58
"-122",0.413144629701435,0.430306535569693,58
"-121",0.420042643923241,0.430306535569693,58
"-120",0.422480620155039,0.430306535569693,58
"-119",0.423948847122651,0.430306535569693,58
"-118",0.423285548237117,0.430306535569693,58
"-117",0.422428820453225,0.430306535569693,58
"-116",0.425251742835012,0.430306535569693,58
"-115",0.421684414327202,0.430306535569693,58
"-114",0.424119241192412,0.430306535569693,58
"-113",0.422682407586607,0.430306535569693,58
"-112",0.422407120743034,0.430306535569693,58
"-111",0.417875798026698,0.430306535569693,58
"-110",0.417601547388781,0.430306535569693,58
"-109",0.415586927093406,0.430306535569693,58
"-108",0.42014694508894,0.430306535569693,58
"-107",0.411560023197371,0.430306535569693,58
"-106",0.41747197526092,0.430306535569693,58
"-105",0.420289855072464,0.430306535569693,58
"-104",0.416924265842349,0.430306535569693,58
"-103",0.421672783465327,0.430306535569693,58
"-102",0.418887601390498,0.430306535569693,58
"-101",0.418420544506661,0.430306535569693,58
"-100",0.417567567567568,0.430306535569693,58
"-99",0.415556842308435,0.430306535569693,58
"-98",0.415476649942107,0.430306535569693,58
"-97",0.414431796256994,0.430306535569693,58
"-96",0.41820987654321,0.430306535569693,58
"-95",0.424493731918997,0.430306535569693,58
"-94",0.423254917084458,0.430306535569693,58
"-93",0.430306535569693,0.430306535569693,58
"-92",0.428488820354665,0.430306535569693,58
"-91",0.42493736750819,0.430306535569693,58
"-90",0.424277456647399,0.430306535569693,58
"-89",0.419764977846272,0.430306535569693,58
"-88",0.419684129429892,0.430306535569693,58
"-87",0.42210668207202,0.430306535569693,58
"-86",0.425105891413169,0.430306535569693,58
"-85",0.41944177093359,0.430306535569693,58
"-84",0.418013856812933,0.430306535569693,58
"-83",0.416201654800847,0.430306535569693,58
"-82",0.412658714890342,0.430306535569693,58
"-81",0.407193691094441,0.430306535569693,58
"-80",0.407884615384615,0.430306535569693,58
"-79",0.408575273985772,0.430306535569693,58
"-78",0.407535563244906,0.430306535569693,58
"-77",0.409187007495676,0.430306535569693,58
"-76",0.408724058416603,0.430306535569693,58
"-75",0.407877041306436,0.430306535569693,58
"-74",0.409719554360353,0.430306535569693,58
"-73",0.412713654695602,0.430306535569693,58
"-72",0.413402457757296,0.430306535569693,58
"-71",0.413899020925322,0.430306535569693,58
