"Participant_A" "Participant_B"
1114 0
982 0
935 409
1057 0
840 0
1011 1990
1427 0
1350 301
917 47
943 0
1838 1802
2661 0
3116 0
2781 6494
1900 3534
1755 0
1819 0
1984 7471
2112 0
1815 10226
1553 0
1586 4680
2083 0
3128 10398
3728 0
3860 10988
3862 11723
3722 0
3924 11928
4510 1936
5393 0
6223 1570
7021 0
7897 17995
8306 0
8671 0
8604 0
8340 0
7987 19691
6709 0
4823 10537
7296 0
8496 0
7544 0
7032 16758
8344 0
10100 0
12367 0
13120 19835
12353 8231
11268 0
11035 0
10920 0
10210 23110
9084 0
8790 0
11031 23217
12309 0
12945 15846
12610 0
11007 0
10089 0
9829 0
9587 0
9221 0
8640 27395
8224 0
8287 13701
7610 0
5536 0
3898 0
4131 0
5048 0
5102 11481
4092 0
3409 0
4001 9807
4747 3751
5699 0
5105 4665
5327 0
8932 11274
12061 0
13870 17805
15503 0
17457 0
19196 0
20269 0
20755 0
20521 0
20632 0
21271 0
21496 0
20786 0
19721 0
18959 32790
18419 22602
17314 0
15468 0
11572 0
9354 0
10387 0
11224 0
9371 0
7096 0
10063 31385
12919 0
13748 15355
12502 0
11075 0
11495 8399
13254 0
15160 5204
15352 1268
14234 0
14421 4390
16253 0
18475 0
20601 3534
21412 4282
21297 0
21041 0
21138 0
21427 0
21714 0
21299 0
20147 0
18809 0
18014 0
17280 0
16384 0
14571 17575
11988 0
9748 0
8161 0
6940 0
5682 12458
4676 0
6058 0
7677 0
8828 5794
8524 0
7788 0
7583 0
7476 4927
7539 0
6742 0
5824 0
4814 0
3300 950
2158 0
2043 2859
2149 0
2462 0
3279 0
3988 3973
4293 0
4769 1036
5419 0
6283 0
6745 0
5601 0
4972 0
5732 0
4560 0
4217 0
4005 12901
4069 0
3940 0
2708 0
1000 0
2053 3002
3975 168
4787 0
4863 0
4606 0
3663 1917
2762 0
1990 0
1287 0
2273 0
3385 0
3834 2963
3663 0
2923 4
2900 0
3347 63
2718 0
1428 0
844 0
1405 0
2198 0
2081 3525
1842 0
1989 1827
2516 0
2634 0
2491 0
2096 0
2356 0
2536 0
2286 20205
2445 7389
2549 0
2574 0
2160 0
1173 0
501 26628
574 0
1525 0
2699 0
3145 0
3977 0
4744 0
4781 18536
4968 0
5222 0
5212 0
5367 0
5894 14479
6082 0
5807 0
4985 13823
3425 13235
1478 0
655 0
1076 0
543 0
821 12729
925 0
265 0
66 0
143 0
528 0
967 0
920 0
270 0
69 25027
118 0
178 0
334 0
629 0
1833 0
2962 0
3707 0
4449 18814
4640 6275
4315 0
4794 0
4266 0
3220 8144
2189 0
1228 4319
1005 0
1183 2354
800 5082
338 0
1073 0
2040 5388
1708 0
1210 1426
1106 0
842 0
287 0
44 0
177 0
891 0
1666 0
1520 0
377 9093
499 0
624 1229
640 0
1020 0
865 0
1102 0
1558 3325
1844 0
1315 32
923 0
753 0
20 560
15 0
44 371
8 15
18 0
145 1532
414 0
608 0
590 0
192 572
38 0
331 0
378 0
500 0
891 0
858 0
141 0
2 5021
23 0
220 8277
307 0
449 0
460 0
498 0
580 6631
958 0
1172 0
709 0
98 0
9 0
30 1672
558 0
1185 0
938 4282
668 1795
148 1756
110 0
867 5507
1249 0
692 0
66 0
19 0
46 7289
382 0
477 0
643 6103
1082 0
1596 0
2838 0
4015 0
4460 0
5201 0
6923 11504
8117 0
7520 117
7043 0
5962 0
3761 282
3063 0
3647 1514
3285 1414
3637 277
2908 979
1445 0
2506 220
3298 0
2772 1705
2904 607
3212 0
2237 0
1316 0
565 0
810 0
1718 2696
951 0
430 591
458 0
724 0
61 0
113 1484
285 0
177 986
1155 0
1686 590
1069 404
178 0
330 9
596 0
292 3
242 71
820 0
1627 0
1477 0
961 0
127 1967
56 0
314 0
682 0
1183 0
651 0
41 4375
150 0
239 0
233 98
467 80
204 103
100 0
491 88
372 0
197 1304
207 0
278 1184
340 0
170 32
1954 0
1152 0
478 676
1421 0
2610 0
3102 0
2810 0
1210 0
19 0
197 349
940 0
735 4
78 0
20 0
182 1
307 0
207 0
462 0
865 5
597 0
303 0
10 0
35 0
312 0
420 0
88 2309
104 0
628 0
886 0
509 0
50 1174
1 0
396 66
424 0
356 26
622 0
891 0
603 0
72 153
0 51
28 0
362 0
98 35
74 0
69 0
66 0
2 21
0 0
2 0
41 0
25 133
0 0
34 122
83 0
16 0
0 0
2 0
65 0
13 12
0 0
7 36
188 0
137 14
0 0
19 130
209 0
113 66
16 0
2 13
77 0
160 0
77 497
181 0
154 0
372 0
374 7015
65 0
1 0
0 1734
0 4094
6 0
409 0
635 5817
171 0
4 0
0 0
0 0
0 0
9 4225
148 0
231 4
225 0
98 0
128 1436
302 0
131 0
8 0
8 1622
145 43
69 0
80 0
988 5
1496 0
978 0
13 0
8 890
362 0
520 0
35 0
80 10
788 0
1209 0
854 1238
46 0
0 0
75 0
346 11
248 0
848 0
1276 0
887 0
106 0
250 0
929 1186
940 0
800 150
509 0
171 197
124 103
151 1260
172 0
577 0
585 1462
371 3671
1150 0
2122 2264
4183 2492
7147 0
9152 0
10303 0
11342 0
11584 0
11284 0
10880 0
10084 11072
8714 970
6974 0
5013 0
3770 2752
3311 6411
3035 0
2801 1496
2924 0
2505 1302
1744 2336
1069 0
2826 0
5290 2512
7391 0
9396 254
10170 0
9593 0
7761 0
5322 1174
1864 0
811 0
4730 222
5564 0
5558 42
5726 0
4633 0
3083 0
1381 0
2185 0
3342 297
3849 0
3971 0
3139 0
3055 0
3839 424
4995 0
6179 55
7529 0
8734 30
9697 0
11183 0
12956 0
14105 492
14827 1
14960 0
15109 1
15323 0
15279 0
14790 0
13799 0
12625 0
11498 3212
10468 0
9781 285
9757 0
9825 0
8988 4515
6619 0
7252 0
7922 0
8625 9529
7326 0
5560 0
3782 0
3437 0
3423 14891
3920 10842
4547 0
4728 0
4296 11736
3699 0
3366 0
3470 0
3892 19823
3311 6992
2351 7007
1375 6907
1030 0
1326 16960
1640 0
1938 10943
1927 0
1799 0
1615 0
1564 0
1285 0
1097 0
1180 0
1387 17099
1734 0
1870 6095
1529 4192
1193 12597
1262 0
1322 0
1810 0
2473 0
2299 32398
1755 0
1386 12087
1330 11715
1640 20340
2249 0
2491 0
1881 25433
1298 0
1432 10994
1989 0
2800 0
3440 0
3398 21622
2921 0
2837 4097
3553 5909
5121 0
6474 0
6999 8090
6260 0
5668 0
5816 0
8638 6564
12076 0
14179 3077
14665 0
14258 381
14037 1663
13972 0
12881 1193
11466 0
9035 0
7046 655
8875 0
11253 0
13039 2543
13958 0
13192 244
10263 291
7003 0
9620 1809
13091 0
15372 0
14337 0
11408 0
9614 0
10954 0
11890 0
11453 0
10424 0
9357 0
7487 9952
6548 0
6669 0
5897 244
5181 1749
5683 0
6489 0
7395 3871
7138 0
5911 2494
4007 0
2227 923
1970 0
2010 2308
2160 0
2505 0
2145 0
1564 0
1158 0
1291 0
2328 0
3576 0
4559 13370
5637 2433
6740 4896
8033 0
9272 5134
10632 0
11776 2369
12813 0
13442 0
13627 9270
12973 0
11988 0
10453 0
7861 0
4570 0
5908 9281
9470 0
11272 734
12548 0
13552 609
14009 0
14039 0
13258 3895
12388 0
11590 1880
10539 0
9616 0
8591 0
7598 0
6834 1057
6060 792
5553 0
5003 0
4524 1597
4024 0
3626 0
3048 0
2418 0
1855 0
1664 0
1252 0
539 0
232 0
848 14691
1903 0
3167 771
4521 304
5269 767
5907 0
6208 0
6589 1584
6628 0
6605 0
7142 4050
7469 0
7395 1985
7317 411
7251 233
6901 0
6635 2139
5579 0
6037 0
6593 0
7604 0
8520 0
8584 0
9229 0
10340 0
10888 0
10912 0
10041 0
8480 20048
6292 0
4234 7967
3827 0
4233 7214
4844 0
4794 6116
4157 0
3662 1901
2951 1462
2745 1075
2651 0
5473 1714
7399 0
7268 0
5942 0
4823 5714
4704 0
5749 0
6899 0
6916 0
6927 0
7291 0
7375 0
7310 0
6131 0
4204 0
4744 9187
5835 0
6492 0
6470 1627
6080 0
6396 274
6779 580
7105 0
7835 170
8715 727
9077 0
8827 121
8503 73
8324 0
7766 683
7282 0
7208 0
7081 0
6028 0
5335 0
6436 0
8386 0
8555 7521
8615 0
8449 0
8433 0
7994 0
7054 743
6007 70
5352 71
4958 56
4822 6
4763 37
4462 0
3814 0
3124 0
3065 0
2991 0
2478 0
1833 0
1574 0
2027 2295
3229 0
4114 0
4685 0
5174 0
5451 3569
5109 0
4505 246
3670 172
4231 0
5982 238
6831 1693
7476 0
8118 5324
8874 0
9790 0
9565 0
7495 7547
6753 0
7128 0
7855 0
7906 0
7246 0
7187 0
7682 0
8467 13092
10237 0
11300 0
9975 2034
7779 0
4509 250
1675 13
3575 0
6971 35
8872 429
9352 839
9338 0
9262 218
9672 0
10554 0
11357 2431
11798 0
11929 0
11711 0
11185 0
10634 5356
9531 0
8295 0
7113 0
6346 7630
5806 1254
4803 1047
4039 0
3458 0
2880 1893
2936 1692
3620 0
2842 514
1597 1526
846 0
776 0
1550 0
2369 2980
2451 0
2692 0
3374 0
3727 5964
4361 0
5164 0
5405 73
5548 0
5589 0
5809 2344
6064 0
5948 1095
5733 0
5952 2519
6373 207
6737 0
7272 158
7458 0
7723 482
8020 544
8524 0
8966 0
9156 0
7137 1471
5541 0
4243 0
3411 1067
2944 196
3093 0
3928 0
5547 0
7173 465
7842 0
8289 153
8254 0
8118 0
7950 37
7688 0
7635 416
7606 0
7471 0
6900 506
6551 0
6346 0
5955 0
5092 0
4946 2286
4614 0
3927 1347
3989 0
3674 0
3356 0
3650 559
3318 0
2599 781
2448 0
1951 329
1304 3955
1471 0
1207 808
762 0
1262 1195
994 0
251 8602
214 0
114 0
279 0
939 6617
838 7840
479 0
392 0
606 0
1240 0
1884 13478
2353 0
2777 0
3273 0
3878 0
4646 0
5387 0
6095 14455
6622 575
6949 350
7220 1514
7686 0
8264 750
8658 0
8857 5925
8579 0
8385 2283
